Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31448.9136078023
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.49264764785767
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,12222.235645941
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.22401523590088
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,893.077195986297
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.87114191055298
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,221.15780340632
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.03750085830688
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3557.83777540965
Cambodia,KHM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.67057394981384
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1625.2350215138
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.82764077186584
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1666.93280948232
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.59400606155396
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,52358.6216405155
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,88475.6008787475
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.87251687049866
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,461.137510928519
Chad,TCD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.8881299495697
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,685.690314996613
